Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
77639527900016;0420984S;ORGANISME GESTION LYCEE PROFES STE MARIE;;82420225842;actif;formateur;39 Rue des Frères Chappe 42000 Saint-Étienne;Lyon;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;1;25/01/2022;0420984S;0420984S;0421016B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30296432500062;0740100G;ENSEIGNEMENT CATHOLIQUE THONON;LYCEE PRIVE ST JOSEPH;84740320974;actif;formateur;5 Avenue du Léman 74200 Thonon-les-Bains;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;1;25/01/2022;0740100G;0740100G;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33405643900022;0691654Y;OGEC ST SYMPHORIEN SUR COISE;LYCEE PRIVE CHAMPAGNAT;;actif;formateur;Rue Chanoine Pavailler 69590 Saint-Symphorien-sur-Coise;Lyon;Auvergne-Rhône-Alpes;Non;;cfa_ec;3;1;25/01/2022;0691654Y;0691654Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77644184200023;0730760E;OGEC PIERRE DE TARENTAISE;OGEC PIERRE DE TARENTAISE;84730204273;actif;formateur;3 Place de l'église 73200 Albertville;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;2;1;25/01/2022;0730760E;0730760E;0730773U;0731272L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37935520900022;0631560D;ASSOC FAMILIALE RURALE;LEAP MASSABIELLE;;actif;formateur;Chemin de Montfort 63580 Le Vernet-Chaméane;Clermont-Ferrand;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;1;25/01/2022;0631560D;0631560D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52980107800047;0740155S;ENSEIGNEMENT CATHOLIQUE DE SALLANCHES;;;actif;formateur;390 Rue du Colonney 74700 Sallanches;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;2;1;25/01/2022;0740155S;0740155S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45285944000011;0150047V;OGEC SAINT GERAUD ENFANT JESUS;;;actif;formateur;23 Rue du College 15000 Aurillac;Clermont-Ferrand;Auvergne-Rhône-Alpes;Non;;cfa_ec;;;25/01/2022;0150047V;0150047V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77559574700095;0380018N;CTRE REGIONAL ETUD ENSEIG FORMAT & INSER;ISER BORDIER;;actif;formateur;26 Rue Prosper Merimee 38100 Grenoble;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;4;3;25/01/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77970557300029;0691678Z;ASSOCIATION D'ENSEIGNEMENT AGRICOLE ET DE FORMATION PROFESSIONNELLE RURALE SANDAR;ECOLE SECONDAIRE PRIVEE;;actif;formateur;LD CHATEAU SANDAR 69760 LIMONEST;Lyon;Auvergne-Rhône-Alpes;Non;agri|cfa_ec;agri|cfa_ec;1;1;25/01/2022;0691678Z;0691678Z;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77962620900034;0383208F;OGEC PHILIPPINE DUCHESNE ITECBOISFLEURY;;;actif;formateur;118 Avenue de l’Eygala 38700 Corenc;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;2;1;25/01/2022;0383208F;0383208F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52981754600011;0762284V;ASS RESPONSABLE ETS D'ENSEIGNEMENT DE L INSTITUTION ST JOSEPHDE MESNIERES;;;actif;formateur;Rue de Mesnerettes 76270 Mesnières-en-Bray;Normandie;Normandie;Non;agri|cfa_ec;agri|cfa_ec;1;2;25/01/2022;0762284V;0762284V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41292082900014;0241033T;ASS FAMILIALE GESTION LYCEE AGRIC PRIVEE;;75240211524;actif;formateur;Route du Cluzeau 24240 Sigoulès-et-Flaugeac;Bordeaux;Nouvelle-Aquitaine;Non;agri|cfa_ec;agri|cfa_ec;2;1;25/01/2022;0241033T;0241033T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39241358900012;0340992U;OGEC SACRE-COEUR;;76341012834;actif;formateur;46 Boulevard d'Angleterre 34500 Béziers;Montpellier;Occitanie;Non;;cfa_ec;1;1;25/01/2022;0340992U;0340992U;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77755663000039;0290184T;OGEC SAINT SEBASTIEN SAINT JOSEPH;;;actif;inconnue;route de Pencran 29800 Landerneau;Rennes;Bretagne;Non;;cfa_ec;1;;25/01/2022;0290184T;0290184T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78080672500013;0271070S;ORGAN GESTION ENS CATHO FRANCOIS SALLES;;;actif;inconnue;8 Rue Portevin 27000 Évreux;Normandie;Normandie;Non;cfa_ec;cfa_ec;1;;25/01/2022;0271070S;0271070S;0271449D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78080672500021;0271070S;ORGAN GESTION ENS CATHO FRANCOIS SALLES;LYCEE PRIVE SAINT FRANCOIS DE SALLES;;actif;inconnue;8 Rue Portevin 27000 Évreux;Normandie;Normandie;Non;cfa_ec;cfa_ec;1;;25/01/2022;0271070S;0271070S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77955462500011;0381666E;ASSOC PIERRE TERMIER;;;actif;responsable_formateur;5bis Rue Fourier 38000 Grenoble;Grenoble;Auvergne-Rhône-Alpes;Non;;cfa_ec;1;1;25/01/2022;0381666E;0381666E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
