Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
21750001625297;;VILLE DE PARIS;LYCEE RENE CASSIN;;actif;formateur;185 Avenue de Versailles 75016 Paris;Paris;Île-de-France;Non;;en_hors_murs;4;1;25/01/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19771761400014;0771761W;COLLEGE ANDRE MALRAUX;;;actif;formateur;1 Avenue du Lycee 77130 Montereau-Fault-Yonne;Créteil;Île-de-France;Non;;en_hors_murs;1;1;25/01/2022;0771761W;0771761W;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19040023400018;;LYCEE POLYVALENT ARENE PAUL;;;actif;formateur;13 Avenue du Stade 04200 Sisteron;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;2;;25/01/2022;;0040023D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19750802100015;;LYCEE PROFESSIONNEL HECTOR GUIMARD;;;actif;formateur;19 Rue Curial 75019 Paris;Paris;Île-de-France;Non;;en_hors_murs;1;1;25/01/2022;;0750802P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19751710500015;0751710B;LYCEE METIERS NICOLAS LOUIS VAUQUELIN;;;actif;formateur;13 Avenue Boutroux 75013 Paris;Paris;Île-de-France;Non;;en_hors_murs;2;1;25/01/2022;0751710B;0751710B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19750447500025;;LYCEE HOTELIER GUILLAUME TIREL;;;actif;formateur;237 Boulevard Raspail 75014 Paris;Paris;Île-de-France;Non;;en_hors_murs;1;1;25/01/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19750793200014;;LYCEE PROFESSIONNEL BEAUGRENELLE;;;actif;formateur;62 Rue Saint-Charles 75015 Paris;Paris;Île-de-France;Non;;en_hors_murs;;;25/01/2022;;0750793E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19130143100018;0130143K;LYCEE GENERAL ET TECHNOLOGIQUE LANGEVIN;;;actif;formateur;Avenue Docteur Alexander Fleming 13500 Martigues;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;2;;25/01/2022;0130143K;0130143K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19590223400010;0594624F;LYCEE GENERAL ET TECHNOLOGIQUE DU HAINAUT;;;actif;formateur;1 Avenue Villars 59300 Valenciennes;Lille;Hauts-de-France;Non;;en_hors_murs;2;1;25/01/2022;0594624F;0590223X;0594624F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19590121000011;0593318L;LYCEE GENERAL ET TECHNOLOGIQUE CESAR BAGGIO;;;actif;formateur;Boulevard d’Alsace 59000 Lille;Lille;Hauts-de-France;Non;;en_hors_murs;2;1;25/01/2022;0593318L;0590121L;0593318L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
