Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;
78136153000012;0171291L;MAISON FAMILIALE RURALE EDUCATION ORIENT;;54170045017;actif;responsable_formateur;2 Route de Roiffé 17700 Saint-Pierre-La-Noue;Poitiers;Nouvelle-Aquitaine;Oui;mfr;mfr;;2;2021-12-17;0171291L;0171291L;;
78125674800018;;MAISON FAMILIALE RURALE DE SAINT PROJET;;75160106716;fermé;inconnue;Taponnat-Fleurignac;Poitiers;Nouvelle-Aquitaine;Oui;;mfr;1;;2021-12-17;0161043X;0161043X;;
78118129200025;0161042W;MAISON FAMILIALE RURALE EDUC ORIENTATION;;54160018416;actif;responsable_formateur;ANCIENNE ABBAYE SAINT GILLES 16190 MONTMOREAU;Poitiers;Nouvelle-Aquitaine;Oui;mfr;mfr;;2;2021-12-17;0161042W;0161042W;;
78119478200012;0161002C;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DES CHARENTES A RICHEMONT - INSTITUT SUPERIEUR DE FORMATION PAR ALT;INSTITUT DE RICHEMONT;54160018516;actif;responsable_formateur;12 Route de l'Ancien Séminaire 16370 Cherves-Richemont;Poitiers;Nouvelle-Aquitaine;Oui;mfr;mfr;;2;2021-12-17;0161002C;0161002C;0861423E;
33778063900023;0161000A;MAISON FAMILIALE RURALE;;54160018716;actif;responsable_formateur;12 Rue Ernest Merlin 16200 Jarnac;Poitiers;Nouvelle-Aquitaine;Oui;mfr;mfr;;5;2021-12-17;0161000A;0160755J;0161000A;
33778074600018;0160755J;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION  DE TRIAC-LAUTRAIT;;54160068816;actif;responsable_formateur;Triac-Lautrait;Poitiers;Nouvelle-Aquitaine;Oui;mfr;mfr;;1;2021-12-17;0160755J;0160755J;0161000A;
77910548500014;0150688S;MAIS FAMIL RUR D'EDUCATION ET ORIENTATIO;;83150293115;actif;responsable_formateur;Route de Massales 15100 Saint-Flour;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;2;2021-12-17;0150688S;0150688S;;
78075147500010;0141904U;MAISON FAMILIALE RURALE EDUCAT ET ORIENT;;25140132414;actif;responsable_formateur;Route de la Bagotiere 14220 Les Moutiers-en-Cinglais;Normandie;Normandie;Oui;mfr;mfr;;1;2021-12-17;0141904U;0141904U;;
78073249100011;0141902S;ASS DES MAISONS FAMILIALES BALLEROY;;25140027714;actif;responsable_formateur;81 Rue des Forges (Balleroy) 14490 Balleroy-sur-Drôme;Normandie;Normandie;Oui;mfr;mfr;;1;2021-12-17;0141902S;0141902S;;
31150973100015;0291604L;MAISON FAMILIALE RURALE EDUCA ORIENT;;53290350229;actif;responsable_formateur;15 rue des Ecoles 29860 Plabennec;Rennes;Bretagne;Oui;mfr;mfr;;2;2021-12-17;0291604L;0291604L;;
43320759400014;;MAISON FAMILIALE DU LITTORAL OUEST;;96973042897;fermé;inconnue;Boulevard Sicart 97360 Mana;Guyane;Guyane;Oui;;mfr;1;;2021-12-17;9730367L;9730367L;;
77727960500011;0820776Y;MFR SUD AGROMAT-CAMPUS ALTERNANCE;;73820055182;actif;responsable_formateur;584 Chemin de Jouan Petit 82700 Escatalens;Toulouse;Occitanie;Oui;mfr;mfr;;2;2021-12-17;0820776Y;0820776Y;;
32290470700013;;MFR SAINT -DIE - LA PORTE D'ALSACE;;41880128488;fermé;inconnue;34 Chemin du Réservoir 88100 Saint-Dié-des-Vosges;Nancy-Metz;Grand Est;Oui;;mfr;1;;2021-12-17;0881450Y;0881450Y;;
78148515600017;0790991Y;MAISON FAMILIALE EDUCATION ORIENTATION;;54790012179;actif;responsable_formateur;RTE ALLONNE 79130 SECONDIGNY;Poitiers;Nouvelle-Aquitaine;Oui;mfr;mfr;;1;2021-12-17;0790991Y;0161002C;0790991Y;
77753858800016;0291844X;INSTITUT RURAL SUD FINISTERE;;53290932029;actif;responsable_formateur;Elliant;Rennes;Bretagne;Oui;mfr;mfr;;1;2021-12-17;0291844X;0291844X;;
33499365600019;0741236S;MAISON FAMILIALE RURALE;;82740251174;actif;responsable_formateur;1154 Route des alluaz 74380 Bonne;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0741236S;0692436Y;0741236S;
30869892700016;;MAISON FAMILIALE LES EBEAUX;;84740385674;fermé;inconnue;35 Place de la Mairie 74350 Cruseilles;Grenoble;Auvergne-Rhône-Alpes;Oui;;mfr;2;;2021-12-17;0741120R;0741120R;;
77857240400029;0711452T;MAISON FAMI RURALE EDUCATION ORIENTATION;;26710027171;actif;responsable_formateur;Allée Faustin Potain 71800 La Clayette;Dijon;Bourgogne-Franche-Comté;Oui;mfr;mfr;;1;2021-12-17;0711452T;0711452T;;
30469122300149;;FEDERATION REGIONALE DES MFR;ANTENNE DE CFA AGRICOLE 3579R;;fermé;inconnue;234 Route de Charly 69230 Saint-Genis-Laval;Lyon;Auvergne-Rhône-Alpes;Non;;mfr;4;;2021-12-17;0693579R;0011073L;0693579R;
78098421700015;0611038X;ASS DES MAISONS FAMILIALES DE TRUN;;25610089961;actif;responsable_formateur;Route d'Argentan 61160 Trun;Normandie;Normandie;Oui;mfr;mfr;;1;2021-12-17;0611038X;0611038X;;
33465213800010;0211531A;MAISON FAMILIALE RURALE EDUCATORIENTAT;;27210375821;actif;responsable_formateur;Liernais;Dijon;Bourgogne-Franche-Comté;Oui;mfr;mfr;;1;2021-12-17;0211531A;0211531A;0212238U;
32295961000021;0320663X;MAISON FAMILIALE RURALE;;73320055832;actif;responsable_formateur;La Bourdette 32430 Cologne;Toulouse;Occitanie;Oui;mfr;mfr;;1;2021-12-17;0320663X;0320663X;;
40918828100029;0133915K;MAISON FAMILIALE RURALE D EDUCATION ET D ORIENTATION RHONE ALPILLES;;93131600613;actif;responsable_formateur;2 Rue de la Garrigue 13310 Saint-Martin-de-Crau;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;mfr;;;2021-12-17;0133915K;0133915K;0133989R;
78835245800012;0441836G;MAISON FAMILIALE RURALE EDUCAT ORIENTAT;;52440127044;actif;responsable_formateur;20 Rue du Prieuré 44320 Saint-Père-en-Retz;Nantes;Pays de la Loire;Oui;mfr;mfr;;1;2021-12-17;0441836G;0441836G;;
77915044000013;;MAISON FAMIL RURALE EDUCAT ORIENT;;83430315343;fermé;inconnue;5 Rue Casati 43250 Sainte-Florine;Clermont-Ferrand;Auvergne-Rhône-Alpes;Oui;;mfr;2;;2021-12-17;0430886E;0430886E;;
30870556500015;0421185K;MAISON FAMILIALE;;82420207342;actif;responsable_formateur;22 Route de Jonzieux 42660 Marlhes;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0421185K;0421185K;0692436Y;
77541137400025;0410957T;MAISON FAMILIALE RURALE DU VENDOMOIS;;24410135441;actif;responsable_formateur;15 Chemin de Moncé 41100 Saint-Firmin-des-Prés;Orléans-Tours;Centre-Val de Loire;Oui;mfr;mfr;;1;2021-12-17;0410957T;0410957T;;
77957043100014;;MAISON FAMILIALE RURALE EDUC ORIENT DE MOIRANS;;82380010638;fermé;inconnue;Rue du Vergeron 38430 Moirans;Grenoble;Auvergne-Rhône-Alpes;Oui;;mfr;2;;2021-12-17;0382938M;0382938M;0383227B;
77964004400029;0382438U;MAISO FAMIL RURAL TRIEVES BEAUMONT MATHE;;82380466038;actif;responsable_formateur;50 Avenue de Rivalta 38450 Vif;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0382438U;0382438U;;
77948850100015;0382436S;MAISON FAMIL RURALE DEDUC ORIEN DE MOZAS;;82380481838;actif;responsable_formateur;4 Chemin de Mozas 38300 Bourgoin-Jallieu;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0382436S;0382432M;0382436S;
42940000500030;;FED REG DES  MAISONS FAMILIALES RURALES;;;actif;inconnue;3 Rue Yvan Audouard 13200 Arles;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;mfr;;;2021-12-17;0133509U;0133509U;;
30394026600016;0132823Y;MAISON FAMILIALE RURALE;;93130640613;actif;responsable_formateur;213 Avenue Henri Froidfond 13114 Puyloubier;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;mfr;;1;2021-12-17;0132823Y;0132823Y;;
33187461000016;0132278F;MAISON FAMILIALE RURALE;;93131703113;actif;responsable_formateur;la Rebutte 13570 Barbentane;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;mfr;;1;2021-12-17;0132278F;0132278F;;
33500144200011;0132149R;ASSOC MAISON FAMIL RURALE EDUCA ORIENTAT;;93130368513;actif;responsable_formateur;Draille de Beauchamp 13630 Eyragues;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;mfr;;1;2021-12-17;0132149R;0132149R;0133835Y;
33392505500019;0261096A;MAISON FAM RURALE EDUCATION ORIENTATION;;82260182926;actif;responsable_formateur;Route de Grane 26400 Divajeu;Grenoble;Auvergne-Rhône-Alpes;Oui;;mfr;1;2;2021-12-17;0261096A;0261096A;;
78273673000014;0132010P;ASS MAISO FAMIL CANTON LAMBESC;;93131811213;actif;responsable_formateur;Lambesc;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;mfr;;1;2021-12-17;0132010P;0132010P;0133509U;
32666262400039;9741058G;MAISON FAMILIALE RURALE DE LA PLAINE DES PALMISTES;;4973262997;actif;inconnue;Rue Arzal Adolphe 97431 La Plaine-des-Palmistes;La Réunion;La Réunion;Oui;mfr;mfr;;;2021-12-17;9741762X;9741058G;9741762X;
33176303700024;;MAISON FAMILIALE RURALE DE L OUEST;;4973282797;actif;inconnue;31 Chemin Gros Eucalyptus 97422 Saint-Paul;La Réunion;La Réunion;Oui;mfr;mfr;;;2021-12-17;9741711S;9741059H;9741711S;
81229926100063;;SPL ASSISTANCE A LA FORMATION PROFESSIONNELLE DES ADULTES A LA REUNION;CFPA DE SAINT PIERRE;;actif;inconnue;65 Rue du Père Lafosse 97410 Saint-Pierre;La Réunion;La Réunion;Non;;mfr;4;;2021-12-17;9741306B;9741306B;9741632F;
32444645900012;9741057F;ASS MAISON FAMILIALE RURALE EDUCA ORIENT;;4973263897;actif;responsable_formateur;1091 Chemin Bel Ombre 97440 Saint-André;La Réunion;La Réunion;Oui;mfr;mfr;;1;2021-12-17;9741057F;9741057F;9741782U;
32057524400019;9741056E;ASSMAISON FAMILRURALEDUCATORIENTAT;;4973212797;actif;inconnue;9 Rue Paul Hermann 97430 Le Tampon;La Réunion;La Réunion;Oui;mfr;mfr;;;2021-12-17;9741056E;9741056E;9741695Z;
38176405900022;;FEDER DEPART MAIS FAMIL RUR EDUC ORIENT;CEN FORMA APPRENTIS FEDE MFR GPE;;actif;inconnue;41 Rue Antoine Lardenoy 97100 Basse-Terre;Guadeloupe;Guadeloupe;Non;;mfr;1;;2021-12-17;9711179E;9711179E;9711280P;
38862894300010;0881711G;ASSOCIATION MAISON FAMILLIALE GUGNECOURT;;41880029788;actif;responsable_formateur;265 Grande Rue 88600 Gugnécourt;Nancy-Metz;Grand Est;Oui;mfr;mfr;;1;2021-12-17;0881711G;0551027T;0881711G;
78347843100019;0881593D;ASSOCIATION DE LA MAISON FAMILIALE RURALE DE SAULXURES SUR MOSELOTTE;ASSOCIATION DE LA MAISON FAMILIALE RURALE DE SAULXURES SUR MOSELOTTE;41880008788;actif;responsable_formateur;Rue de Basinroche 88290 Saulxures-sur-Moselotte;Nancy-Metz;Grand Est;Oui;;mfr;;2;2021-12-17;0881593D;0881593D;0881722U;
78344966300013;0881592C;MAISON FAMILIALE RURALE EDUC ORIENTATION;;41880125888;actif;responsable_formateur;29 Rue de l'Eglise 88220 Hadol;Nancy-Metz;Grand Est;Oui;mfr;mfr;;1;2021-12-17;0881592C;0881592C;;
78342337900016;0881547D;MAISON FAMIL RURALE EDUCATION ORIENT;;41880115288;actif;responsable_formateur;178 Rue des Récollets 88140 Bulgnéville;Nancy-Metz;Grand Est;Oui;mfr;mfr;;1;2021-12-17;0881547D;0881547D;;
33500462800012;0840796J;MAISO FAMIL RURAL EDUCA ORIENT;;93840126884;actif;responsable_formateur;QUA QUARTIER LA FERRAGE 84240 LA TOUR D'AIGUES;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;mfr;mfr;;1;2021-12-17;0840796J;0840796J;;
77724791700019;0811036L;CTRE DE FORMATION PAR ALTERNANCE;;73810017781;actif;responsable_formateur;Chemin de La Roque 81440 Peyregoux;Toulouse;Occitanie;Oui;mfr;mfr;;2;2021-12-17;0811036L;0811036L;;
40414402400019;0801631N;MAIS FAMILIALE RURALE EDUCATION ORIENTAT;;22800116680;actif;inconnue;14 Rue Roger Salengro 80140 Oisemont;Amiens;Hauts-de-France;Oui;mfr;mfr;;;2021-12-17;0801631N;0801631N;;
78062659400011;0801630M;MAISON FAMIL RURALE EDUC ORIEN;;32800203480;actif;responsable_formateur;36 Rue du Général Leclerc 80160 Conty;Amiens;Hauts-de-France;Oui;mfr;mfr;;1;2021-12-17;0801630M;0801630M;;
78501118000029;0772333T;ASS FAMILIALE EDUCATION GATINAIS;;11770664077;actif;inconnue;72 Avenue du Maréchal Leclerc 77460 Souppes-sur-Loing;Créteil;Île-de-France;Oui;mfr;mfr;;;2021-12-17;0772333T;0772333T;;
78100293600016;0762630W;MAISON FAMILIAL RURAL EDUCATION ORIENTAT;;23760487776;actif;responsable_formateur;Route de Sommery (Buchy) 76750 Buchy;Normandie;Normandie;Oui;mfr;mfr;;;2021-12-17;0762630W;0762630W;;
78074754900019;0141872J;MFR-CENTRE DE FORMATION MALTOT;;25140002614;actif;responsable_formateur;LD LA FRANCE 14930 MALTOT;Normandie;Normandie;Oui;mfr;mfr;;;2021-12-17;0141872J;0141872J;0142260F;
30488998300017;0741238U;MAISON FAMIL EDUCAT ORIENTAT;;82740230574;actif;responsable_formateur;6 Route de la catie 74330 La Balme-de-Sillingy;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0741238U;0741238U;0741503G;
30469122300115;0741453C;FEDERATION REGIONALE DES MFR;MAISON FAMIL APPRENT SEMINE;;actif;inconnue;Franclens;Grenoble;Auvergne-Rhône-Alpes;Non;;mfr;3;;2021-12-17;0741453C;0741453C;;
77661994200019;0741240W;MAISON FAMILIALE RURALE D EDUCATION ET D ORIENTATION DE SALLANCHES LE BELVEDERE;;82740225174;actif;responsable_formateur;401 Rue de montagny 74700 Sallanches;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;;1;2021-12-17;0741240W;0692436Y;0741240W;
50264547600016;0741253K;MAISON FAMILIALE RURALE D'ANNECY LE VIEUX;INSTITUT RURAL DES MFR;82740032474;actif;responsable_formateur;Chemin du périmètre (Annecy) 74940 Annecy;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;3;2021-12-17;0741253K;0692436Y;0741253K;
39759221300011;0741438L;MAISON FAMILIALE RURALE PAYS SEYSSEL;;82740249774;actif;responsable_formateur;6 Rue des oudets 74910 Seyssel;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0741438L;0741438L;;
32642100500017;0741502F;MAISON FAMILIALE RURALE EDUC ET ORIENTAT;;82740226074;actif;responsable_formateur;Chemin du villaret 74230 Thônes;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0741437K;0741437K;0741502F;
33453366800011;0741408D;MAISON FAMILIALE RURALE EDUC ORIENTATION;;84740369874;actif;responsable_formateur;Route des Dronières 74350 Cruseilles;Grenoble;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0741408D;0692436Y;0741120R;
77664383500015;0741328S;CTRE FORMAT APPRENTIS MAISONS FAMILIALES;;84740388774;actif;responsable_formateur;Vulbens;Grenoble;Auvergne-Rhône-Alpes;Oui;;mfr;1;1;2021-12-17;0741328S;0741328S;;
77658564800012;0740293S;C DE FORM APPRENTIS MAISON FAMILIALE;;84740338174;actif;responsable_formateur;Route des cinq chemins 74200 Margencel;Grenoble;Auvergne-Rhône-Alpes;Oui;;mfr;1;1;2021-12-17;0740293S;0740293S;;
30294865800018;0721425H;MAISON FAMILIALE RURALE;;52720168272;actif;responsable_formateur;6 Rue de Rosay 72610 Fyé;Nantes;Pays de la Loire;Oui;;mfr;;1;2021-12-17;0721425H;0721425H;;
30469122300156;0692436Y;FEDERATION REGIONALE DES MFR;;82690986269;actif;responsable;Chemin Jean-Marie Vianney 69130 Écully;Lyon;Auvergne-Rhône-Alpes;Non;;mfr;53;;2021-12-17;0692436Y;0382275S;0382432M;
77965620600017;0693067J;MAISON FAMILIALE RURALE LA PALMA;;82691215969;actif;responsable_formateur;226 Chemin de la Palma 69210 L'Arbresle;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0693067J;0693067J;;
30292798300023;0692918X;MAISON FAMILIALE RURALE CHESSY;;82691138069;actif;responsable_formateur;68 Avenue de la Gare 69380 Chessy;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;;1;2021-12-17;0692918X;0692918X;;
30293143100019;0692715B;ASS DE LA MAISON FAMILIALE;;82691132569;actif;responsable_formateur;Chemin de la Brossonnière 69280 Sainte-Consorce;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0692715B;0692436Y;0692715B;
33532490100016;0692713Z;MAISON FAMIL RURALE BEAUJOLAIS;;82691425669;actif;responsable_formateur;Rue de Sermezy 69220 Charentay;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;;1;2021-12-17;0692713Z;0692713Z;;
77978834800018;0692708U;MAISON FAMILIALE RURALE D'EDUCATION ET D'ORIENTATION DE VILLIE-MORGON;;82691375669;actif;responsable_formateur;194 Montée des Gaudets 69910 Villié-Morgon;Lyon;Auvergne-Rhône-Alpes;Oui;mfr;mfr;1;1;2021-12-17;0692708U;0692708U;;
