Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à  jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4
19441823200014;0441823T;LYCEE PROFESSIONNEL HEINLEX - LYCEE DES METIERS;;;actif;formateur;1 Rue Albert Einstein 44600 Saint-Nazaire;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0441823T;0441823T;;;
19440034700010;0440034Y;LYCEE DES METIERS MICHELET;;;actif;formateur;41 BD MICHELET 44000 NANTES;Nantes;Pays de la Loire;Non;greta;greta;1;2;17/12/2021;0440034Y;0440034Y;0441975H;0442574J;
19440029700017;0440029T;LYCEE GENERAL ET TECHNOLOGIQUE LIVET;;52440417944;actif;formateur;16 Rue Dufour 44000 Nantes;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0440029T;0440029T;0441975H;;
19440001600011;0440001M;LYCEE POLYVALENT JOUBERT-EMILIEN MAILLARD;;;actif;formateur;160 Rue du Pressoir Rouge 44150 Ancenis-Saint-Géréon;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0440001M;0440001M;;;
19851401000018;0851401L;LYCEE GEN TECHNO DE LATTRE DE TASSIGNY;;;actif;formateur;165 Rue hubert cailler 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0851401L;0851401L;;;
19850068800017;0850068M;LYCEE POLYVALENT FRANCOIS RABELAIS;;;actif;inconnue;45 Rue rabelais 85200 Fontenay-le-Comte;Nantes;Pays de la Loire;Non;greta;greta;;;17/12/2021;0850068M;0850068M;;;
19850033200020;0850033Z;LYCEE PROFESSIONNEL ERIC TABARLY;;;actif;formateur;3 Rue éric tabarly 85340 Les Sables-d'Olonne;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0850033Z;0850033Z;;;
19850028200019;0850028U;LYCEE PROFESSIONNEL EDOUARD BRANLY;;52850232185;actif;formateur;5 Boulevard édouard branly 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0850028U;0850028U;;;
19850025800019;0850025R;LYCEE GEN TECHNOL PIERRE MENDES FRANCE;;;actif;formateur;Boulevard arago 85000 La Roche-sur-Yon;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0850025R;0850025R;0851313R;;
19840113500019;0840113S;LYCEE DES METIERS ALEXANDRE DUMAS;;;actif;formateur;Avenue Alphonse Jauffret 84300 Cavaillon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;17/12/2021;0840113S;0840113S;0841036V;;
19840016000026;0841241T;LYCEE POLYVALENT VICTOR HUGO;CTRE FORMATION APPRENTIS;;fermé;formateur;100 Rue Robert Lacoste 84200 Carpentras;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;17/12/2021;0841022E;0840866K;0841022E;0841241T;
19840039200017;0840039L;LYCEE PROFESSIONNEL DOMAINE EGUILLE;LP;;actif;formateur;Avenue d'Eguilles 84270 Vedène;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;17/12/2021;0840039L;0840039L;0841022E;;
19840004600019;0840004Y;LYCEE POLYVALENT AUBANEL THEODORE;;;actif;formateur;14 Rue de la Palapharnerie 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;greta;1;1;17/12/2021;0840004Y;0840004Y;;;
19721094100013;0721094Y;LYCEE POLYVALENT LE MANS SUD;;;actif;formateur;128 rue Henri Champion 72100 Le Mans;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0721094Y;0721094Y;;;
19720048800017;0720048L;LYCEE POLYVALENT RAPHAEL ELIZE;;;actif;formateur;26 Rue Saint Denis 72300 Sablé-sur-Sarthe;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0720048L;0720048L;;;
19720034800013;0720034W;LYCEE PROFESSIONNEL FUNAY-HELENE BOUCHER-LYCEE DES METIERS;;;actif;formateur;157 rue Henri Champion 72100 Le Mans;Nantes;Pays de la Loire;Non;greta;greta;2;1;17/12/2021;0720034W;0720034W;0721639R;;
19720017300015;0720017C;LYCEE POLYVALENT ROBERT GARNIER-LYCEE DES METIERS DES SERVICES ET DE L'INDUSTRIE;;;actif;formateur;Avenue du Général de Gaulle 72400 La Ferté-Bernard;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0720017C;0720017C;;;
19720003300011;0720003M;LYCEE PROFESSIONNEL CLAUDE CHAPPE;;;actif;formateur;rue des Collèges 72230 Arnage;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0720003M;0720003M;;;
19530039700013;0530949U;LYCEE POLYVALENT RAOUL VADEPIED;;;actif;formateur;Boulevard Henri Rossignol 53600 Évron;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0530949U;0530949U;;;
19530079300013;0530079Y;LYCEE PROFESSIONNEL LEONARD DE VINCI;;;actif;formateur;129 Boulevard de l'Europe 53100 Mayenne;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0530079Y;0530079Y;;;
19530040500014;0530040F;LYCEE PROFESSIONEL PIERRE ET MARIE CURIE;;;actif;formateur;1 Rue Edouard Branly 53200 Château-Gontier-sur-Mayenne;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0530040F;0530040F;;;
19530013200014;0530013B;LYCEE PROFESSIONNEL ROBERT BURON;;;actif;formateur;39 Avenue Chanzy 53000 Laval;Nantes;Pays de la Loire;Non;greta;greta;1;2;17/12/2021;0530013B;0530013B;;;
19492123500017;0492123S;LYCEE POLYVALENT JEAN MOULIN;;;actif;formateur;1 Boulevard Jean Moulin 49100 Angers;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0492123S;0492123S;;;
19490784600019;0490784L;LYCEE PROFESSIONNEL HENRI DUNANT;;;actif;formateur;15 Rue de Haarlem 49100 Angers;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0490784L;0490784L;;;
19490020500015;0490054T;LYCEE POLYVALENT FERNAND RENAUDEAU - LYCEE DES METIERS DE LA CREATION ET DE LA MODE;;;actif;formateur;Rue de la Tuilerie 49300 Cholet;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0490054T;0490054T;;;
19490013000015;0490013Y;LYCEE PROFESSIONNEL DE NARCE;;;actif;formateur;Route de Narce 49800 Loire-Authion;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0490013Y;0440315D;0490013Y;0491937P;0492335X
19442095600022;0442095N;LYCEE POLYVALENT LA HERDRIE;;;actif;formateur;Rue de Goulaine 44115 Basse-Goulaine;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0442095N;0442095N;0442574J;;
19441550100015;0441550W;LYCEE PROFESSIONNEL OLIVIER GUICHARD;;;actif;formateur;12 rue de la fauvette 44350 Guérande;Nantes;Pays de la Loire;Non;greta;greta;2;1;17/12/2021;0441550W;0441550W;0442574J;;
19440537900018;0440537V;LYCEE PROFESSIONNEL LES SAVARIERES;;;actif;formateur;5 Avenue de Glinde 44230 Saint-Sébastien-sur-Loire;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0440537V;0440537V;;;
19440315000015;0440315D;LYCEE PROFESSIONNEL ANDRE BOULLOCHE;;;actif;inconnue;32 Rue du Plessis 44600 Saint-Nazaire;Nantes;Pays de la Loire;Non;greta;greta;;;17/12/2021;0440315D;0440315D;0441975H;;
19440069300017;0440069L;LYCEE GEN ET TECHNOL ARISTIDE BRIAND;;;actif;formateur;10 Avenue Pierre de Coubertin 44600 Saint-Nazaire;Nantes;Pays de la Loire;Non;greta;greta;1;1;17/12/2021;0440069L;0440069L;;;
