Siret,UAI validée,Raison sociale,Enseigne,numero_declaration_activite,etat_administratif,Nature,Adresse,Académie,Région,Qualiopi,Réseaux,Réseau à jour,Nombre de relations,Nombre de lieux de formation,Date d'import,UAI probable,UAI potentielle 1,UAI potentielle 2,UAI potentielle 3,UAI potentielle 4,UAI potentielle 5,UAI potentielle 6,UAI potentielle 7,UAI potentielle 8,UAI potentielle 9,UAI potentielle 10,UAI potentielle 11,UAI potentielle 12,UAI potentielle 13,UAI potentielle 14,UAI potentielle 15,UAI potentielle 16,UAI potentielle 17,UAI potentielle 18,UAI potentielle 19,UAI potentielle 20,UAI potentielle 21,UAI potentielle 22,UAI potentielle 23,UAI potentielle 24,UAI potentielle 25,UAI potentielle 26,UAI potentielle 27,UAI potentielle 28,UAI potentielle 29,UAI potentielle 30,UAI potentielle 31,UAI potentielle 32,UAI potentielle 33,UAI potentielle 34,UAI potentielle 35,UAI potentielle 36,UAI potentielle 37,UAI potentielle 38,UAI potentielle 39,UAI potentielle 40,UAI potentielle 41,UAI potentielle 42,UAI potentielle 43,UAI potentielle 44,UAI potentielle 45,UAI potentielle 46,UAI potentielle 47,UAI potentielle 48,UAI potentielle 49,UAI potentielle 50,UAI potentielle 51,UAI potentielle 52,UAI potentielle 53,UAI potentielle 54,UAI potentielle 55,UAI potentielle 56,UAI potentielle 57,UAI potentielle 58,UAI potentielle 59,UAI potentielle 60
77568879900011,0411024R,FONDATION APPRENTIS D'AUTEUIL,,11751561875,actif,responsable_formateur,40 Rue Jean de la Fontaine 75016 Paris,Paris,Île-de-France,Oui,cfa ec,cfa ec,14,2,2021-12-17,0756019K,0753217P,0754458N,0756019K,0922340U,0922688X,0950805J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77555830700093,0411024R,FORMATION ET METIER,,93130322913,actif,responsable_formateur,368 Boulevard Henri Barnier 13016 Marseille,Aix-Marseille,Provence-Alpes-Côte d'Azur,Oui,,cfa ec,31,1,2021-12-17,0133339J,0133004V,0133339J,0133864E,0134070D,0841150U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52940109300016,0411024R,GESTION CENTRE FORMATION APPRETIS ENSEIGNEMENT CATHOLIQUE,,52530096753,actif,responsable,37 Rue du Britais 53000 Laval,Nantes,Pays de la Loire,Oui,cfa ec,cfa ec,3,,2021-12-17,0530973V,0530973V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34354988700010,0411024R,GROUPE ARCADES,,26210018021,actif,responsable_formateur,13 Rue du Vieux Collège 21000 Dijon,Dijon,Bourgogne-Franche-Comté,Oui,,cfa ec,1,3,2021-12-17,0212114J,0211091X,0212114J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81890818800019,0411024R,GROUPE DE LA SALLE - REIMS,,44510195451,actif,responsable_formateur,94 Avenue de Laon 51100 Reims,Reims,Grand Est,Oui,,cfa ec,1,1,2021-12-17,0511645L,0511645L,0512176N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77639528700019,0411024R,GROUPE TEZENAS DU MONTCEL,,82420234142,actif,responsable_formateur,14 Place Girodet 42000 Saint-Étienne,Lyon,Auvergne-Rhône-Alpes,Oui,cfa ec,cfa ec,1,3,2021-12-17,0420979L,0420979L,0422338N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42879133900057,0411024R,INSTITUT SUPERIEUR DE COMMERCE ET DE BUREAUTIQUE PAR ABREVIATION ISCB,ISCB,24370182137,actif,responsable_formateur,26 Rue de la Bourde 37000 Tours,Orléans-Tours,Centre-Val de Loire,Oui,,cfa ec,,1,2021-12-17,0371495Z,0371495Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78428083600031,0411024R,ISIT INSTITUT DE MANAGEMENT ET DE COMMUNICATION INTERCULTURELS,,11753755575,actif,formateur,39b Rue d’Assas 75006 Paris,Paris,Île-de-France,Oui,cfa ec,cfa ec,1,2,2022-01-25,0754493B,0754493B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80335559300036,0411024R,LE CENTRE DES APPRENTIS D'ALSACE,,44680306468,actif,responsable_formateur,3 Route de Bâle 68000 Colmar,Strasbourg,Grand Est,Oui,cfa ec,cfa ec,,6,2021-12-17,0682085X,0451335G,0671639T,0672602P,0673002Z,0673056H,0680161F,0681656F,0681885E,0681917P,0682085X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78274968300010,0411024R,LYCEE ENSEIGNEMENT AGRC PRIVE FONTLONGUE,,93131473813,actif,responsable_formateur,Boulevard Théodore Aubanel 13140 Miramas,Aix-Marseille,Provence-Alpes-Côte d'Azur,Oui,,cfa ec,3,1,2022-01-25,0131690S,0131690S,0133339J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77821052600019,0411024R,NOUVELLE ASSOC EDUCAT POPULAI ST-BENIGNE,,26210015921,actif,responsable_formateur,99 Rue de Talant 21000 Dijon,Dijon,Bourgogne-Franche-Comté,Oui,cfa ec,cfa ec,4,2,2021-12-17,0212052S,0211090W,0211985U,0212052S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78025339900015,0411024R,OGEC DE CHARLEVILLE MEZIERES,,21080010508,actif,responsable_formateur,20 Rue Madame de Sévigné 08000 Charleville-Mézières,Reims,Grand Est,Oui,,cfa ec,,1,2021-12-17,0081150G,0080084Y,0080994M,0081150G,0542507G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75161280500018,0411024R,OGEC D'ENSEIGNEMENT DU BASSIN CHARTRAIN,INSTITUTION NOTRE DAME - COLLEGE - LYCEES - ESCC,24280155528,actif,responsable_formateur,2 Avenue Bethouart 28000 Chartres,Orléans-Tours,Centre-Val de Loire,Oui,,cfa ec,1,1,2021-12-17,0281099T,0280665W,0281099T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77821417100010,0411024R,OGEC GROUPE SAINT JOSEPH LA SALLE - DIJON,,26210000321,actif,responsable_formateur,39 Rue du Transvaal 21000 Dijon,Dijon,Bourgogne-Franche-Comté,Oui,,cfa ec,,3,2021-12-17,0212109D,0211089V,0212109D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78034848800054,0411024R,OGEC GROUPE SAINT-JOSEPH,CENTRE FORM PRO LA SALLE,21100000510,actif,formateur,21 Rue du Cloitre Saint-Etienne 10000 Troyes,Reims,Grand Est,Oui,,cfa ec,2,1,2021-12-17,0101140K,0101140K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80919961500018,0411024R,OGEC JEAN PAUL II DE LA SALLE,,53351008335,actif,responsable_formateur,5 Rue de la Motte-Brûlon 35700 Rennes,Rennes,Bretagne,Oui,cfa ec,cfa ec,1,2,2021-12-17,0352938D,0352787P,0352938D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41780707000012,0411024R,OGEC LA JOLIVERIE,,52440003244,actif,responsable_formateur,141 Route de Clisson 44230 Saint-Sébastien-sur-Loire,Nantes,Pays de la Loire,Oui,,cfa ec,4,1,2021-12-17,0442096P,0440210P,0440256P,0441653H,0442096P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78837731500031,0411024R,OGEC LES CHARMILLES,OF CFA CHARMILLES,84380734338,actif,responsable_formateur,8 Rue du Tour de l’Eau 38400 Saint-Martin-d'Hères,Grenoble,Auvergne-Rhône-Alpes,Oui,,cfa ec,2,1,2021-12-17,0383474V,0381758E,0383349J,0383474V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77502017500011,0411024R,OGEC LTP ST JEAN BAPTISTE DE LA SALLE,,24180011018,actif,responsable_formateur,52 Avenue de la Libération 18000 Bourges,Orléans-Tours,Centre-Val de Loire,Oui,,cfa ec,,3,2022-01-25,0180571Y,0180571Y,0180906M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77777659200019,0411024R,OGEC LYCEE HOTELIER NOTRE DAME,,,actif,inconnue,Rue de Dinan 35290 Saint-Méen-le-Grand,Rennes,Bretagne,Non,,cfa ec,1,,2022-01-25,0352960C,0350807M,0352960C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78316723200025,0411024R,OGEC LYCEE MARIE FRANCE,,93830404683,actif,responsable_formateur,20 Rue Danton 83000 Toulon,Nice,Provence-Alpes-Côte d'Azur,Oui,,cfa ec,,1,2021-12-17,0830116A,0830116A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33940141600047,0411024R,OGEC NANTES ERDRE,,52440014644,actif,responsable_formateur,27 Rue du Ballet 44000 Nantes,Nantes,Pays de la Loire,Oui,,cfa ec,6,2,2021-12-17,0442349P,0442349P,0442774B,0442775C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57420065500011,0411024R,OGEC NOTRE DAME DU BON SECOURS,,76660250566,actif,responsable_formateur,39 Avenue Julien Panchot 66000 Perpignan,Montpellier,Occitanie,Oui,,cfa ec,1,2,2022-01-25,0660059F,0660059F,0660929B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33940183800109,0411024R,OGEC SAINT AUBIN LA SALLE,,52490314049,actif,responsable_formateur,Rue Hélène Boucher 49480 Verrières-en-Anjou,Nantes,Pays de la Loire,Oui,cfa ec,cfa ec,4,2,2021-12-17,0492303M,0492303M,0492420P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77527280000019,0411024R,OGEC SAINT GATIEN,,24370012937,actif,responsable_formateur,Rue de la Douzillère 37300 Joué-lès-Tours,Orléans-Tours,Centre-Val de Loire,Oui,cfa ec,cfa ec,2,3,2021-12-17,0371701Y,0370740D,0371701Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77811428000036,0411024R,OGEC SAINT MICHEL,,21510097651,actif,responsable_formateur,39 Rue Martin Peller 51100 Reims,Reims,Grand Est,Oui,,cfa ec,,2,2021-12-17,0511145T,0511145T,0512072A,0541344T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31230931300046,0411024R,OGEC ST PAUL-BOURDON BLANC,,24450025545,actif,responsable_formateur,4 Rue Neuve Saint-Aignan 45000 Orléans,Orléans-Tours,Centre-Val de Loire,Oui,,cfa ec,1,3,2021-12-17,0451550R,0451550R,0451589H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78633676800035,0411024R,OGEC STE CATHERINE,,52720018672,actif,responsable_formateur,202 Rue de Saint-Aubin 72000 Le Mans,Nantes,Pays de la Loire,Oui,,cfa ec,3,2,2021-12-17,0721554Y,0720822C,0721554Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77551078700010,0411024R,OGEC STE CROIX STE EUVERTE,,24450025145,actif,responsable_formateur,28 Rue de l’Etelon 45000 Orléans,Orléans-Tours,Centre-Val de Loire,Oui,cfa ec,cfa ec,3,2,2021-12-17,0451334F,0451334F,0451335G,0451584C,0451590J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77812775300011,0411024R,OGEC UNION ST MICHEL FORMA PROFE JEUNES,,41540004854,actif,responsable_formateur,Avenue de la Chartreuse 54510 Art-sur-Meurthe,Nancy-Metz,Grand Est,Oui,cfa ec,cfa ec,,1,2021-12-17,0541344T,0541344T,0542295B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78320246800022,0411024R,OGEC VINCENT DE PAUL,,93840086284,actif,responsable,1 Rue Chiron 84000 Avignon,Aix-Marseille,Provence-Alpes-Côte d'Azur,Oui,,cfa ec,2,,2021-12-17,0841150U,0840082H,0841150U,0841206E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
