Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;
89079142900149;0090656P;PURPLE CAMPUS;;76341086134;actif;formateur;1 Zone Artisanale de la Gare 09000 Saint-Paul-de-Jarrat;Toulouse;Occitanie;Oui;;cci;16;5;03/01/2022;0090656P;0090656P;
89079142900172;0811267M;PURPLE CAMPUS;;76341086134;actif;formateur;6 Avenue Général Hoche 81000 Albi;Toulouse;Occitanie;Oui;;cci;16;3;03/01/2022;0342318K;0342318K;
89079142900198;0651115J;PURPLE CAMPUS;;76341086134;actif;formateur;78 Avenue d'Azereix 65000 Tarbes;Toulouse;Occitanie;Oui;;cci;17;1;03/01/2022;0651115J;0342318K;
89079142900107;0342156J;PURPLE CAMPUS;;76341086134;actif;formateur;308 Rue de Chiclana 34500 Béziers;Montpellier;Occitanie;Oui;;cci;16;2;03/01/2022;0342156J;0342156J;
89079142900180;0811377G;PURPLE CAMPUS;;76341086134;actif;formateur;40 Allée Alphonse Juin Maréchal de France 81100 Castres;Toulouse;Occitanie;Oui;;cci;16;1;03/01/2022;0811377G;0342318K;
89079142900065;0660759S;PURPLE CAMPUS;;76341086134;actif;formateur;1 Avenue Paul Pascot 66000 Perpignan;Montpellier;Occitanie;Oui;;cci;17;4;03/01/2022;0660759S;0342318K;
51400512300013;0130239P;GROUPE KEDGE BUSINESS SCHOOL;;93131340113;actif;responsable_formateur;Avenue de luminy 13009 Marseille;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;;cci;4;1;03/01/2022;0130239P;0130239P;
51400512300120;0831448Y;GROUPE KEDGE BUSINESS SCHOOL;;93131340113;actif;formateur;1 Parvis des Ecoles 83000 Toulon;Nice;Provence-Alpes-Côte d'Azur;Oui;;cci;2;1;03/01/2022;0831448Y;0133527N;
32886010100042;0211479U;ASS GEST DEVELOP CTRE FORMATION APPRENTI;;26210018121;actif;responsable_formateur;1 Chemin de la Noue 21600 Longvic;Dijon;Bourgogne-Franche-Comté;Oui;cma;cci|cma;;1;03/01/2022;0211479U;0211479U;
13001408700014;9711186M;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION DES ILES DE GUADELOUPE;;95970041997;actif;responsable_formateur;Rue Felix Eboue 97110 Pointe-à-Pitre;Guadeloupe;Guadeloupe;Oui;;cci;;;03/01/2022;9711186M;9711186M;
13002280900110;0351883G;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE ILLE-ET-VILAINE;CENTRE DE FORMATION DES APPRENTIS;53351000435;actif;responsable_formateur;17 Rue de Siochan 35430 Saint-Jouan-des-Guérets;Rennes;Bretagne;Oui;;cci;5;1;03/01/2022;0351883G;0351883G;
13002280900029;0351884H;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE ILLE-ET-VILAINE;FACULTE DES METIERS;53351000435;actif;responsable_formateur;Rue des Frères Montgolfier 35170 Bruz;Rennes;Bretagne;Oui;cci;cci;5;2;03/01/2022;0351884H;0350998V;
18770918300292;0772919E;CHAMBRE DE COMMERCE ET D'INDUSTRIE;;1177P000677;actif;formateur;49 Avenue Thiers 77000 Melun;Créteil;Île-de-France;Oui;;cci;5;1;17/12/2021;0772919E;0772919E;
38980235600045;0471027L;SUD MANAGEMENT;;72470032947;actif;responsable_formateur;Rue Henri Barbusse 47300 Villeneuve-sur-Lot;Bordeaux;Nouvelle-Aquitaine;Oui;;cci;1;2;17/12/2021;0471027L;0471027L;
18560005300234;0561783J;CHAMBRE COMMERCE ET INDUSTRIE MORBIHAN;CCI MORBIHAN FORMATION;5356P001456;actif;responsable_formateur;21 Quai des Indes 56100 Lorient;Rennes;Bretagne;Oui;;cci;;3;17/12/2021;0561783J;0561783J;
88280019600017;0542533K;ECOLE D ENSEIGNEMENT SUPERIEUR CONSULAIRE DE MEURTHE ET MOSELLE;CCI FORMATION EESC;44540389954;actif;responsable_formateur;3 Rue du Mouzon 54520 Laxou;Nancy-Metz;Grand Est;Oui;cci;cci;;6;17/12/2021;0542533K;0541550S;
18383001700236;0381861S;CHAMBRE COMMERCE ET INDUSTRIE GRENOBLE;CCI FORMATION-CFA IMT-ISCO;8238P001138;actif;responsable_formateur;10 Rue Aime Pupin 38100 Grenoble;Grenoble;Auvergne-Rhône-Alpes;Oui;cci;cci;3;2;17/12/2021;0381861S;0381861S;
18640002400201;0932858B;CHAMBRE COMMERCE & INDUSTRIE PAU BEARN;CNPC;7264P000564;actif;responsable_formateur;1 Place de la Berline 93200 Saint-Denis;Créteil;Île-de-France;Oui;cci;cci;6;1;17/12/2021;0641918M;0641918M;
18973302500119;9730469X;CHAMBRE COMMERCE ET INDUSTRIE LA GUYANE;CENTRE DE FORMATION DES APPRENTIS (CFA);96973075197;actif;responsable_formateur;41 Zone artisanale Galmot 97300 Cayenne;Guyane;Guyane;Oui;;cci;1;;17/12/2021;9730469X;9730469X;
