MEF;DISPOSITIF_FORMATION;FORMATION_DIPLOME;DUREE_DISPOSITIF;ANNEE_DISPOSITIF;LIBELLE_COURT;LIBELLE_LONG;DATE_OUVERTURE;DATE_FERMETURE;STATUT_MEF;NB_OPTION_OBLIGATOIRE;NB_OPTION_FACULTATIF;RENFORCEMENT_LANGUE;DUREE_PROJET;DUREE_STAGE;HORAIRE;MEF_INSCRIPTION_SCOLARITE;MEF_STAT_11;MEF_STAT_9;DATE_INTERVENTION;NUMERO_COMPTE;GESTION_DIFFUSION;LIBELLE_EDITION;ID;CREATED_AT;UPDATED_AT;N_COMMENTAIRE
3011100922;301;37011009;2;2;TBMSPE;CPGE TECHNO & MATH.SPE TB 2EME ANNEE;01/09/1992;31/08/1996;1;1;1;N;0;0;N;O;31121111009;311211110;03/04/1996;BCNSPN;02;Cpge techno & math.spe tb 2eme annee;573;;;
3011101022;301;37011010;2;2;MSPEBP;CPGE TECHNO & MATH.SPE TB' 2EME ANNEE;01/09/1992;31/08/1995;1;0;1;N;0;0;N;O;31121111010;311211110;03/04/1996;BCNSPN;02;Cpge techno & math.spe tb' 2eme annee;574;;;
3011101721;301;37011017;2;1;1CA-C;CPGE1  ENS CACHAN SECTION_C;01/09/1992;31/08/2014;1;1;;N;;;O;O;31111111017;311111110;25/04/2014;BCNSCO6;02;Cpge1  ens cachan section_c;575;;;
3011101722;301;37011017;2;2;2CA-C;CPGE2  ENS CACHAN SECTION_C;01/09/1992;31/08/2014;1;1;;N;;;O;O;31121111017;311211110;25/04/2014;BCNSCO6;02;Cpge2  ens cachan section_c;576;;;
2542551322;254;45025513;2;2;2BP2  25513;2BP2   INSTALLAT. ET EQUIPMTS ELECTRIQ.;01/09/1998;31/08/2018;3;0;;N;;;N;O;25120025513;251200255;27/02/2017;BCNSCO7;02;2bp2   installat. et equipmts electriq.;6509;;;
2473300331;247;40033003;3;1;2NDPRO33003;2NDPRO ACC.SOINS-S.PERS. OPT.A DOMICILE;01/09/2011;;4;0;;N;;;N;O;23810033003;238100330;15/06/2020;BCNSPN5;02;2ndpro accompagnement soins & services à la personne option à domicile;9180;;13/05/2019;Réforme bac pro 2022 réservé à l'apprentissage
3011200321;301;37012003;2;1;1CA-D3;CPGE1  ENS CACHAN SECTION_D3;01/09/1992;02/09/1992;1;0;0;N;0;0;N;O;31111312003;311113120;24/03/1996;BCNSPN;02;Cpge1  ens cachan section_d3;581;;;
3011200322;301;37012003;2;2;2CA-D3;CPGE2  ENS CACHAN SECTION_D3;01/09/1992;02/09/1992;1;0;0;N;0;0;N;O;31121312003;311213120;24/03/1996;BCNSPN;02;Cpge2  ens cachan section_d3;582;;;
3001100111;300;37011001;1;1;VETO;CPGE ECOLES NATIONALES VETERINAIRES;01/09/1992;31/08/2004;1;1;;N;;;O;O;31111111001;311111110;17/05/2003;BCNSCO6;02;Cpge ecoles nationales veterinaires;585;;;
3011101122;301;37011011;2;2;MSPBTS;CPGE MATH.SPE TECHNO T (POUR BTS) 2E AN.;01/09/1993;31/08/1995;1;0;0;N;0;0;N;O;31121111011;311211110;05/04/1995;OPS$BCNSCO5;02;Cpge math.spe techno t (pour bts) 2e an.;586;;;
3011101222;301;37011012;2;2;MSPEP;CPGE MATH.SPE P 2EME ANNEE;01/09/1992;31/08/1996;1;1;1;N;0;0;N;O;31121111012;311211110;03/04/1996;BCNSPN;02;Cpge math.spe p 2eme annee;587;;;
3011101322;301;37011013;2;2;MSPEQ;CPGE MATH.SPE P' 2EME ANNEE;01/09/1992;31/08/1996;1;1;1;N;0;0;N;O;31121111013;311211110;03/04/1996;BCNSPN;02;Cpge math.spe p' 2eme annee;588;;;
3011101422;301;37011014;2;2;MSPEM;CPGE MATH.SPE M 2EME ANNEE;01/09/1992;31/08/1996;1;1;1;N;0;0;N;O;31121111014;311211110;03/04/1996;BCNSPN;02;Cpge math.spe m 2eme annee;589;;;
2413121121;241;50031211;2;1;1CAP2 31211;1CAP2 DISTR.& COMMERC.EQUIPMTS.AUTOMOB.;01/09/1992;31/08/2001;3;1;1;N;0;0;O;O;23210031211;232100312;21/09/2000;BCNSCO6;02;1cap2 distr.& commerc.equipmts.automob.;1164;;;
2413121122;241;50031211;2;2;2CAP2 31211;2CAP2 DISTR.& COMMERC.EQUIPMTS.AUTOMOB.;01/09/1992;31/08/2001;3;1;1;N;0;0;O;O;23220031211;232200312;21/09/2000;BCNSCO6;02;2cap2 distr.& commerc.equipmts.automob.;1165;;;
2413110821;241;50031108;2;1;1CAP2 31108;1CAP2 MAGASINAGE ET MESSAGERIE;01/09/1992;31/08/2001;3;1;1;N;0;0;O;O;23210031108;232100311;21/09/2000;BCNSCO6;02;1cap2 magasinage et messagerie;1166;;;
2413110822;241;50031108;2;2;2CAP2 31108;2CAP2 MAGASINAGE ET MESSAGERIE;01/09/1992;31/08/2001;3;1;1;N;0;0;O;O;23220031108;232200311;21/09/2000;BCNSCO6;02;2cap2 magasinage et messagerie;1167;;;
2413110921;241;50031109;2;1;1CAP2 31109;1CAP2 AGENT MAGASINAGE ET MESSAGERIE;01/09/1992;02/09/1992;3;0;0;N;0;0;N;O;23210031109;232100311;27/01/1995;OPS$BCNDEP8;02;1cap2 agent magasinage et messagerie;1168;;;
2413110922;241;50031109;2;2;2CAP2 31109;2CAP2 AGENT MAGASINAGE ET MESSAGERIE;01/09/1992;31/08/1993;3;0;1;N;0;0;N;O;23220031109;232200311;27/01/1995;OPS$BCNDEP8;02;2cap2 agent magasinage et messagerie;1169;;;
2423110933;242;50031109;3;3;3CAP3 31109;3CAP3 AGENT MAGASINAGE ET MESSAGERIE;01/09/1992;31/08/1993;3;0;0;N;0;0;N;O;23330031109;233300311;27/01/1995;OPS$BCNDEP8;02;3cap3 agent magasinage et messagerie;1170;;;
3011200221;301;37012002;2;1;1PS-EG;CPGE1  ENS PARIS-SACLAY ECONOMIE-GESTION;01/09/1992;;1;2;;N;;;O;O;31111312002;311113120;22/05/2019;BCNSCO7;02;Cpge1 ENS Paris-Saclay économie-gestion;579;;;Modification libellés RS 2019
3011200222;301;37012002;2;2;2PS-EG;CPGE2  ENS PARIS-SACLAY ECONOMIE-GESTION;01/09/1992;;1;2;;N;;;O;O;31121312002;311213120;22/05/2019;BCNSCO7;02;Cpge2 ENS Paris-Saclay économie-gestion;580;;;Modification libellés RS 2019
2413111021;241;50031110;2;1;1CAP2 31110;1CAP2 LIVREUR;01/09/1992;31/08/2010;3;1;;N;;;O;O;23210031110;232100311;05/07/2010;BCNSCO6;02;1cap2 livreur;1171;;;GH1 P. Fermeture après diffusion de mai 2010 suite à publication de l'arrêté.
2413111022;241;50031110;2;2;2CAP2 31110;2CAP2 LIVREUR;01/09/1992;31/08/2010;3;1;;N;;;O;O;23220031110;232200311;05/07/2010;BCNSCO6;02;2cap2 livreur;1172;;;GH1 P. Fermeture après diffusion de mai 2010 suite à publication de l'arrêté.
2413121221;241;50031212;2;1;1CAP2 31212;1CAP2 VENTE RELATION CLIENTELE;01/09/1994;31/08/2001;3;1;1;N;0;4;O;O;23210031212;232100312;21/09/2000;BCNSCO6;02;1cap2 vente relation clientele;1173;;;
2413121222;241;50031212;2;2;2CAP2 31212;2CAP2 VENTE RELATION CLIENTELE;01/09/1994;31/08/2001;3;1;1;N;0;8;O;O;23220031212;232200312;21/09/2000;BCNSCO6;02;2cap2 vente relation clientele;1174;;;
2001001811;200;47010018;1;1;2-GT;2NDE GENERALE ET TECHNOLOGIQUE;01/09/2019;;1;2;;N;;;O;O;22111410018;221114100;25/04/2019;BCNSCO7;02;2nde générale et technologique;10974;;15/11/2018;
2422236333;242;50022363;3;3;3CAP3 22363;3CAP3  ART TEC BIJ.JOAILL.OP.POLIS.FINI.;01/09/2021;;3;1;;N;;;N;O;23330022363;233300223;25/01/2019;BCNSPN5;02;3cap3  art tec bij.joaill.op.polis.fini.;11189;;;Ajout suite à réforme dès RS2021
