uai;siret;raison_sociale;enseigne;nature;departement;commune;adresse;prepa_apprentissage
0756148A;88930797100065;ECOLE SUPERIEURE DE VENTE ET DE MANAGEMENT - CCI PARIS ILE-DE-FRANCE EDUCATION;;formateur;75;Paris;6 AV DE LA PTE CHAMPERRET 75017 PARIS 17;
0754955D;13001727000567;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;LA FABRIQUE;inconnue;75;Paris;8 AV DE LA PTE CHAMPERRET 75017 PARIS 17;
9741736U;39104067200035;FORMATION ANIMATION INSERTION REUNION;FAIR;responsable_formateur;974;Saint-Pierre;87 RUE AUGUSTIN ARCHAMBAUD 97410 SAINT-PIERRE;
9741817G;83358983100027;BANLIAT;;responsable_formateur;974;Saint-Paul;63 CHE DE LA PISCINE 97411 SAINT-PAUL;
0061763J;19060004900018;LYCEE GENERAL ET TECHNOLOGIQUE GUILLAUME APOLLINAIRE;;formateur;06;Nice;29 BD JEAN BAPTISTE VERANY 06300 NICE;
0142250V;40264854700014;CENTRE FORMATION AIDE SOIGNANT ST JOSEPH;;formateur;14;Deauville;145 AV DE LA REPUBLIQUE 14800 DEAUVILLE;
0241338Z;42252166600046;FORMATION INSERTION BESOINS RURAUX ET ENTREPRISES;;responsable_formateur;24;Marsac-sur-l'Isle;23 AV LOUIS SUDER 24430 MARSAC SUR L'ISLE;
9741811A;79825621000013;AVENCOT;"RUN MAKE UP ACADEMY; AVENCOT;ONTHETIME;";responsable_formateur;974;Saint-André;347 RUE CHOLET 97440 SAINT-ANDRE;
0690564N;77982511600022;ASSOCIATION SAINT IRENEE DES CHARTREUX;LYCEE PRIVE GEN ET TECHNOL;formateur;69;Lyon;58 RUE PIERRE DUPONT 69001 LYON 1ER;
0756055Z;85188985700013;VIATICUS PARDASA;VIATICUS;responsable_formateur;75;Paris;7 RUE AUMONT THIEVILLE 75017 PARIS 17;
0333519W;39030481400010;BOULEVARDS DES POTES;;responsable_formateur;33;Bordeaux;29 RUE BERGERET 33000 BORDEAUX;
0333517U;42145741700051;EURO FITNESS FEDERATION;;responsable_formateur;33;Bordeaux;8 RUE EDMOND BESSE 33300 BORDEAUX;
0850043K;19850043100012;LYCEE PROFESSIONNEL VALERE MATHE;;inconnue;85;Les Sables-d'Olonne;26 RUE CHATEAUBRIAND 85100 LES SABLES D'OLONNE;
0383461F;13002608100252;UNIVERSITE GRENOBLE ALPES;UFR DE CHIMIE ET DE BIOLOGIE;responsable_formateur;38;Saint-Martin-d'Hères;2231 RUE DE LA PISCINE 38400 SAINT MARTIN D'HERES;
0381971L;13002608100096;UNIVERSITE GRENOBLE ALPES;FACULTE DE PHARMACIE;responsable_formateur;38;La Tronche;PL COMMANDANT NAL 38700 LA TRONCHE;
0383451V;13002608100245;UNIVERSITE GRENOBLE ALPES;UFR LANGAGE LETTRES ARTS DU SPECTACLE INFORMATION;formateur;38;Saint-Martin-d'Hères;1180 AV CENTRALE 38400 SAINT MARTIN D'HERES;
0383444M;13002608100229;UNIVERSITE GRENOBLE ALPES;UFR INFORMATIQUE MATHEMATIQUES DE GRENOBLE;formateur;38;Saint-Martin-d'Hères;60 RUE DE LA CHIMIE 38400 SAINT MARTIN D'HERES;
0380127G;13002608100039;UNIVERSITE GRENOBLE ALPES;INSTITUT D'URBANISME ET DE GEOGRAPHIE ALPINE;responsable_formateur;38;Grenoble;14 AV MARIE REYNOARD 38100 GRENOBLE;
0383305L;13002608100195;UNIVERSITE GRENOBLE ALPES;FACULTE D'ECONOMIE DE GRENOBLE;responsable_formateur;38;Saint-Martin-d'Hères;1241 RUE DES RESIDENCES 38400 SAINT MARTIN D'HERES;
